Identificador do Imóvel;Classe do Edifício;Zoneamento;Frente do Lote;Área Total do Lote;Tipo de Rua;Tipo de Viela;Formato do Lote;Nivelamento do Terreno;Tipo de Utilidades;Configuração do Lote;Inclinação do Terreno;Bairro;Condição Principal;Condição Secundária;Tipo de Construção;Estilo da Casa;Qualidade Geral;Condição Geral;Ano de Construção;Ano da Última Reforma;Tipo de Telhado;Material do Telhado;Revestimento Externo 1;Revestimento Externo 2;Tipo de Alvenaria;Área de Alvenaria;Qualidade dos Materiais Externos;Condição dos Materiais Externos;Fundação;Qualidade do Porão;Condição do Porão;Exposição do Porão;Acabamento do Porão 1;Área Acabada do Porão 1;Acabamento do Porão 2;Área Acabada do Porão 2;Área Não Acabada do Porão;Área Total do Porão;Tipo de Aquecimento;Qualidade do Aquecimento;Ar-Condicionado Central;Sistema Elétrico;Área do Primeiro Andar;Área do Segundo Andar;Área de Baixa Qualidade;Área Útil Acima do Solo;Banheiros Completos no Porão;Lavabos no Porão;Banheiros Completos Acima do Solo;Lavabos Acima do Solo;Quartos Acima do Porão;Número de Cozinhas;Qualidade da Cozinha;Total de Cômodos Acima do Solo;Funcionalidade da Casa;Número de Lareiras;Qualidade da Lareira;Tipo de Garagem;Ano da Construção da Garagem;Acabamento Interno da Garagem;Capacidade da Garagem;Área da Garagem;Qualidade da Garagem;Condição da Garagem;Entrada Pavimentada;Área do Deck de Madeira;Área da Varanda Aberta;Área da Varanda Fechada;Área da Varanda de Três Estações;Área da Varanda Telada;Área da Piscina;Qualidade da Piscina;Tipo de Cerca;Característica Extra;Valor de Características Extras;Mês da Venda;Ano da Venda;Tipo de Venda;Condição da Venda;Preço de Venda
168;60;Residencial (Baixa Dens.);86;10562;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NridgHt;Normal;Normal;Casa Individual;Sobrado;8;5;2007;2007;Duas Águas;Asfalto;VinylSd;VinylSd;Pedra;300;Boa;Média;Concreto;Excelente;Média;Nenhuma;Alto Acabamento;1288;Sem Acabamento;0;294;1582;Gás Forçado;Excelente;Sim;Disjuntor;1610;551;0;2161;1;0;1;1;3;1;Excelente;8;Típica;1;Boa;Anexada;2007;Acabado;3;789;Média;Média;Sim;178;120;0;0;0;0;;;;0;11;2007;Nova;Parcial;325624
169;60;Residencial (Baixa Dens.);62;8244;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;Gilbert;Normal;Normal;Casa Individual;Sobrado;7;5;2004;2004;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Boa;Média;Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;840;840;Gás Forçado;Excelente;Sim;Disjuntor;840;880;0;1720;0;0;2;1;3;1;Boa;7;Típica;1;Boa;Anexada;2004;Acabado;2;440;Média;Média;Sim;100;48;0;0;0;0;;;;0;5;2007;Venda Direta;Normal;183500
170;20;Residencial (Baixa Dens.);;16669;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Esquina;Suave;Timber;Normal;Normal;Casa Individual;Térrea;8;6;1981;1981;Quatro Águas;WdShake;Plywood;Plywood;Tijolo;653;Boa;Média;Blocos de Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1686;1686;Gás Forçado;Média;Sim;Disjuntor;1707;0;0;1707;0;0;2;1;2;1;Média;6;Típica;1;Média;Anexada;1981;Rústico;2;511;Média;Média;Sim;574;64;0;0;0;0;;;;0;1;2006;Venda Direta;Normal;228000
171;50;Residencial (Média Dens.);;12358;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;OldTown;Próximo a Via Alimentadora;Normal;Casa Individual;Mezanino Finalizado;5;6;1941;1950;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Sala de Recreação;360;Sem Acabamento;0;360;720;Gás Forçado;Média;Sim;Disjuntor;854;0;528;1382;0;0;1;1;2;1;Média;7;Típica;0;;Separada;1991;Sem Acabamento;2;660;Média;Média;Sim;237;0;0;0;0;0;;;;0;5;2007;Venda Direta;Normal;128500
172;20;Residencial (Baixa Dens.);141;31770;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Esquina;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;6;5;1960;1960;Quatro Águas;Asfalto;BrkFace;Plywood;Pedra;112;Média;Média;Blocos de Concreto;Média;Boa;Boa;Baixo Acabamento;639;Sem Acabamento;0;441;1080;Gás Forçado;Fraca;Sim;Disjuntor;1656;0;0;1656;1;0;1;0;3;1;Média;7;Típica;2;Boa;Anexada;1960;Acabado;2;528;Média;Média;Parcial;210;62;0;0;0;0;;;;0;5;2010;Venda Direta;Normal;215000
173;160;Residencial (Baixa Dens.);44;5306;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;StoneBr;Normal;Normal;Geminada (Extremidade);Sobrado;7;7;1987;1987;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Boa;Boa;Concreto;Boa;Boa;Nenhuma;Alto Acabamento;495;Sala de Recreação;215;354;1064;Gás Forçado;Boa;Sim;Disjuntor;1064;703;0;1767;1;0;2;0;2;1;Boa;5;Típica;1;Média;Anexada;1987;Rústico;2;504;Boa;Média;Sim;441;35;0;0;0;0;;;;0;6;2006;Venda Direta;Normal;239000
174;20;Residencial (Baixa Dens.);80;10197;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;6;5;1961;1961;Duas Águas;Asfalto;WdShing;Wd Shng;Tijolo Comum;491;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Bom Acabamento;288;Sala de Recreação;374;700;1362;Gás Forçado;Média;Sim;Disjuntor;1362;0;0;1362;1;0;1;1;3;1;Média;6;Típica;1;Média;Anexada;1961;Sem Acabamento;2;504;Média;Média;Sim;0;20;0;0;0;0;;;;0;6;2008;Venda Judicial;Normal;163000
175;20;Residencial (Baixa Dens.);47;12416;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;Timber;Normal;Normal;Casa Individual;Térrea;6;5;1986;1986;Duas Águas;Asfalto;VinylSd;Plywood;Pedra;132;Média;Média;Blocos de Concreto;Boa;Fraca;Nenhuma;Bom Acabamento;1398;Baixo Acabamento;208;0;1606;Gás Forçado;Média;Sim;Disjuntor;1651;0;0;1651;1;0;2;0;3;1;Média;7;Mínima Modificação;1;Média;Anexada;1986;Acabado;2;616;Média;Média;Sim;192;0;0;0;0;0;;;;0;11;2008;Venda Direta;Normal;184000
176;20;Residencial (Baixa Dens.);84;12615;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;Edwards;Normal;Normal;Casa Individual;Térrea;6;7;1950;2001;Duas Águas;Asfalto;WdShing;Wd Shng;Nenhum;0;Média;Média;Blocos de Concreto;Média;Boa;Média;Bom Acabamento;477;Sem Acabamento;0;725;1202;Gás Forçado;Média;Sim;Disjuntor;2158;0;0;2158;1;0;2;0;4;1;Boa;7;Típica;1;Boa;Anexada;1950;Sem Acabamento;2;576;Média;Média;Sim;0;29;39;0;0;0;;Média Privativa;;0;6;2007;Venda Direta;Normal;243000
177;60;Residencial (Baixa Dens.);97;10029;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Esquina;Suave;ClearCr;Normal;Normal;Casa Individual;Sobrado;6;5;1988;1989;Duas Águas;Asfalto;Plywood;Plywood;Tijolo;268;Boa;Média;Concreto;Boa;Média;Nenhuma;Alto Acabamento;831;Sem Acabamento;0;320;1151;Gás Forçado;Média;Sim;Disjuntor;1164;896;0;2060;0;1;2;1;4;1;Média;8;Típica;1;Média;Anexada;1988;Sem Acabamento;2;521;Média;Média;Sim;0;228;0;0;192;0;;;;0;9;2007;Venda Direta;Normal;211000
178;50;Residencial (Baixa Dens.);;13650;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Sawyer;Normal;Normal;Casa Individual;Mezanino Finalizado;5;5;1958;1958;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Boa;Boa;Blocos de Concreto;Média;Média;Nenhuma;Bom Acabamento;57;Baixo Acabamento;441;554;1052;Gás Forçado;Excelente;Sim;Disjuntor;1252;668;0;1920;1;0;2;0;4;1;Boa;8;Típica;1;Boa;Anexada;1958;Sem Acabamento;2;451;Média;Média;Sim;0;0;0;0;0;0;;;;0;7;2006;Venda Direta;Normal;172500
179;20;Residencial (Baixa Dens.);63;17423;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Cul-de-sac;Suave;StoneBr;Normal;Normal;Casa Individual;Térrea;9;5;2008;2009;Quatro Águas;Asfalto;VinylSd;VinylSd;Pedra;748;Excelente;Média;Concreto;Excelente;Média;Nenhuma;Alto Acabamento;1904;Sem Acabamento;0;312;2216;Gás Forçado;Excelente;Sim;Disjuntor;2234;0;0;2234;1;0;2;0;1;1;Excelente;9;Típica;1;Boa;Anexada;2009;Acabado;3;1166;Média;Média;Sim;0;60;0;0;0;0;;;;0;7;2009;Nova;Parcial;501837
180;30;Residencial (Média Dens.);60;8520;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;OldTown;Normal;Normal;Casa Individual;Térrea;5;6;1923;2006;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Nenhum;0;Boa;Média;Blocos de Concreto;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;968;968;Gás Forçado;Média;Sim;Disjuntor;968;0;0;968;0;0;1;0;2;1;Média;5;Típica;0;;Separada;1935;Sem Acabamento;2;480;Fraca;Média;Não;0;0;184;0;0;0;;;;0;7;2007;Venda Direta;Normal;100000
181;160;Vila Planejada;;2117;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Somerst;Normal;Normal;Geminada;Sobrado;6;5;2000;2000;Duas Águas;Asfalto;MetalSd;MetalSd;Tijolo;456;Boa;Média;Concreto;Boa;Média;Nenhuma;Alto Acabamento;436;Sem Acabamento;0;320;756;Gás Forçado;Excelente;Sim;Disjuntor;769;756;0;1525;0;0;2;1;3;1;Boa;5;Típica;1;Média;Separada;2000;Sem Acabamento;2;440;Média;Média;Sim;0;0;0;0;0;0;;;;0;6;2007;Venda Direta;Normal;177000
182;70;Residencial (Baixa Dens.);54;7588;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Crawfor;Normal;Normal;Casa Individual;Sobrado;7;6;1920;1950;Duas Águas;Asfalto;Stucco;Stucco;Nenhum;0;Média;Média;Tijolo;Fraca;Média;Nenhuma;Baixo Acabamento;352;Sem Acabamento;0;441;793;Gás Forçado;Boa;Sim;Disjuntor;901;901;0;1802;0;0;1;1;4;1;Média;9;Típica;1;Boa;Separada;1920;Sem Acabamento;1;216;Fraca;Média;Sim;0;0;40;0;0;0;;;;0;7;2006;Venda Direta;Normal;200100
183;20;Residencial (Baixa Dens.);60;9060;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Edwards;Arterial;Normal;Casa Individual;Térrea;5;6;1957;2006;Quatro Águas;Asfalto;Wd Sdng;Wd Sdng;Tijolo;98;Média;Média;Concreto;;;;;0;;0;0;0;Gás Forçado;Excelente;Sim;Disjuntor;1340;0;0;1340;0;0;1;0;3;1;Média;7;Típica;1;Boa;Anexada;1957;Rústico;1;252;Média;Média;Sim;116;0;0;180;0;0;;Média Privativa;;0;6;2007;Venda Direta;Normal;120000
184;50;Residencial (Média Dens.);63;11426;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;OldTown;Normal;Normal;Casa Individual;Mezanino Finalizado;7;5;2003;2003;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Média;Média;Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1362;1362;Gás Forçado;Excelente;Sim;Disjuntor;1362;720;0;2082;0;0;2;1;3;1;Boa;6;Modificada;0;;Separada;2003;Sem Acabamento;2;484;Média;Média;Não;280;238;0;0;0;0;;;;0;6;2008;Venda Direta;Normal;200000
185;50;Residencial (Baixa Dens.);92;7438;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;BrkSide;Ferrovia (Próximo);Próximo a Via Alimentadora;Casa Individual;Mezanino Finalizado;5;8;1908;1991;Duas Águas;Asfalto;AsbShng;Plywood;Nenhum;0;Média;Média;Concreto;Fraca;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;504;504;Gás Forçado;Boa;Sim;Disjuntor;936;316;0;1252;0;0;1;0;3;1;Média;5;Típica;0;;Anexada;1986;Sem Acabamento;2;576;Média;Média;Sim;104;0;0;0;0;0;;Média Privativa;;0;6;2006;Venda Direta;Normal;127000
186;75;Residencial (Média Dens.);90;22950;Pavimentada;Sem Acesso;Moderadamente Irregular;Plano;Todas Disponíveis;Interno;Suave;OldTown;Arterial;Normal;Casa Individual;2.5Fin;10;9;1892;1993;Duas Águas;Madeira;Wd Sdng;Wd Sdng;Nenhum;0;Boa;Boa;Tijolo;Média;Média;Mínima;Sem Acabamento;0;Sem Acabamento;0;1107;1107;Gás Forçado;Excelente;Sim;Disjuntor;1518;1518;572;3608;0;0;2;1;4;1;Excelente;12;Típica;2;Média;Separada;1993;Sem Acabamento;3;840;Excelente;Média;Sim;0;260;0;0;410;0;;Boa Privativa;;0;6;2006;Venda Direta;Normal;475000
187;80;Residencial (Baixa Dens.);;9947;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Cul-de-sac;Suave;Mitchel;Normal;Normal;Casa Individual;SLvl;7;5;1990;1991;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Média;Média;Concreto;Boa;Média;Média;Alto Acabamento;611;Sem Acabamento;0;577;1188;Gás Forçado;Excelente;Sim;Disjuntor;1217;0;0;1217;1;0;2;0;3;1;Boa;6;Típica;0;;Anexada;1990;Sem Acabamento;2;497;Média;Média;Sim;168;27;0;0;0;0;;Boa Privativa;;0;6;2009;Venda Direta;Normal;173000
188;50;Residencial (Baixa Dens.);60;10410;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;OldTown;Normal;Normal;Casa Individual;Mezanino Finalizado;5;7;1916;1987;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Média;Média;Blocos de Concreto;Fraca;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;660;660;Gás Forçado;Excelente;Sim;Disjuntor;808;704;144;1656;0;0;2;1;3;1;Média;8;Mínima Modificação;0;;Separada;1916;Sem Acabamento;1;180;Fraca;Fraca;Não;0;0;0;140;0;0;;Média Privativa;;0;8;2009;Venda Direta;Normal;135000
189;90;Residencial (Baixa Dens.);64;7018;Pavimentada;Sem Acesso;Regular;Levemente Inclinado;Todas Disponíveis;Interno;Suave;SawyerW;Próximo a Via Alimentadora;Normal;Duplex;SFoyer;5;5;1979;1979;Duas Águas;Asfalto;Plywood;Plywood;Pedra;275;Média;Média;Blocos de Concreto;Boa;Média;Média;Alto Acabamento;1086;Sem Acabamento;0;0;1086;Gás Forçado;Média;Sim;Disjuntor;1224;0;0;1224;2;0;0;2;2;2;Média;6;Típica;2;Média;Separada;1979;Sem Acabamento;2;528;Média;Média;Sim;120;0;0;0;0;0;;;;0;6;2009;Venda Direta;Alocação;153337
190;120;Residencial (Baixa Dens.);41;4923;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;StoneBr;Normal;Normal;Geminada (Extremidade);Térrea;8;5;2001;2002;Duas Águas;Asfalto;CemntBd;CmentBd;Nenhum;0;Boa;Média;Concreto;Excelente;Média;Média;Alto Acabamento;1153;Sem Acabamento;0;440;1593;Gás Forçado;Excelente;Sim;Disjuntor;1593;0;0;1593;1;0;1;1;0;1;Excelente;5;Típica;1;Boa;Anexada;2001;Acabado;2;682;Média;Média;Sim;0;120;0;0;224;0;;;;0;8;2008;Venda Direta;Normal;286000
191;70;Residencial (Baixa Dens.);70;10570;Pavimentada;Sem Acesso;Regular;Levemente Inclinado;Todas Disponíveis;Interno;Moderada;Crawfor;Normal;Normal;Casa Individual;Sobrado;8;8;1932;1994;Quatro Águas;Asfalto;BrkFace;BrkFace;Nenhum;0;Boa;Média;Blocos de Concreto;Boa;Boa;Nenhuma;Sala de Recreação;297;Sem Acabamento;0;556;853;Gás Forçado;Média;Sim;Disjuntor;1549;1178;0;2727;0;0;2;1;3;1;Boa;10;Grande Ajuste;2;Média;Separada;1932;Sem Acabamento;2;440;Média;Média;Sim;0;74;0;0;0;0;;;;0;12;2007;Venda Direta;Normal;315000
192;60;Residencial (Baixa Dens.);;7472;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Cul-de-sac;Suave;NAmes;Normal;Normal;Casa Individual;Sobrado;7;9;1972;2004;Duas Águas;Asfalto;HdBoard;HdBoard;Tijolo;138;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Bom Acabamento;626;Sem Acabamento;0;99;725;Gás Forçado;Boa;Sim;Disjuntor;725;754;0;1479;1;0;1;1;4;1;Boa;7;Típica;0;;Anexada;1972;Acabado;2;484;Média;Média;Sim;0;32;0;0;0;0;;;;0;6;2007;Venda Direta;Normal;184000
193;20;Residencial (Baixa Dens.);68;9017;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Casa Individual;Térrea;7;5;1999;1999;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Boa;Média;Concreto;Boa;Média;Média;Alto Acabamento;560;Sem Acabamento;0;871;1431;Gás Forçado;Excelente;Sim;Disjuntor;1431;0;0;1431;1;0;2;0;3;1;Boa;6;Típica;0;;Anexada;1999;Acabado;2;666;Média;Média;Sim;0;35;0;0;0;0;;;;0;9;2009;Venda Direta;Normal;192000
194;160;Residencial (Média Dens.);24;2522;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Edwards;Normal;Normal;Geminada;Sobrado;7;5;2004;2004;Duas Águas;Asfalto;VinylSd;VinylSd;Pedra;50;Boa;Média;Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;970;970;Gás Forçado;Excelente;Sim;Disjuntor;970;739;0;1709;0;0;2;0;3;1;Boa;7;Grande Ajuste;0;;Separada;2004;Sem Acabamento;2;380;Média;Média;Sim;0;40;0;0;0;0;;;;0;5;2006;Venda Direta;Normal;130000
195;20;Residencial (Baixa Dens.);60;7180;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Casa Individual;Térrea;5;7;1972;1972;Quatro Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Média;Bom Acabamento;390;Sem Acabamento;0;474;864;Gás Forçado;Média;Sim;Disjuntor;864;0;0;864;0;0;1;0;3;1;Média;5;Típica;0;;Separada;1989;Sem Acabamento;1;352;Média;Média;Sim;0;0;0;0;0;0;;;;0;5;2008;Venda Direta;Normal;127000
196;160;Residencial (Baixa Dens.);24;2280;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Frente Dupla;Suave;NPkVill;Normal;Normal;Geminada;Sobrado;6;6;1976;1976;Duas Águas;Asfalto;Plywood;Brk Cmn;Nenhum;0;Média;Média;Blocos de Concreto;Boa;Média;Nenhuma;Bom Acabamento;566;Sem Acabamento;0;289;855;Gás Forçado;Média;Sim;Disjuntor;855;601;0;1456;0;0;2;1;3;1;Média;7;Típica;1;Média;Anexada;1976;Sem Acabamento;2;440;Média;Média;Sim;87;0;0;0;0;0;;;;0;7;2009;Venda Direta;Normal;148500
197;20;Residencial (Baixa Dens.);79;9416;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Somerst;Normal;Normal;Casa Individual;Térrea;7;5;2007;2007;Quatro Águas;Asfalto;CemntBd;CmentBd;Pedra;205;Excelente;Média;Concreto;Excelente;Média;Nenhuma;Alto Acabamento;1126;Sem Acabamento;0;600;1726;Gás Forçado;Excelente;Sim;Disjuntor;1726;0;0;1726;1;0;2;0;3;1;Excelente;8;Típica;1;Boa;Anexada;2007;Acabado;3;786;Média;Média;Sim;171;138;0;0;266;0;;;;0;9;2007;Nova;Parcial;311872
198;75;Residencial (Baixa Dens.);174;25419;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;NAmes;Arterial;Normal;Casa Individual;Sobrado;8;4;1918;1990;Duas Águas;Asfalto;Stucco;Stucco;Nenhum;0;Boa;Boa;Concreto;Média;Média;Nenhuma;Alto Acabamento;1036;Baixo Acabamento;184;140;1360;Gás Forçado;Boa;Sim;Disjuntor;1360;1360;392;3112;1;1;2;0;4;1;Boa;8;Típica;1;Excelente;Separada;1918;Sem Acabamento;2;795;Média;Média;Sim;0;16;552;0;0;512;Excelente;Boa Privativa;;0;3;2006;Venda Direta;Anormal;235000
199;75;Residencial (Média Dens.);92;5520;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;OldTown;Normal;Normal;Casa Individual;2.5Fin;6;6;1912;1950;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;755;755;Gás Forçado;Excelente;Sim;Disjuntor;929;929;371;2229;0;0;1;0;5;1;Média;8;Típica;0;;;;;0;0;;;Sim;0;198;30;0;0;0;;Média Privativa;;0;7;2009;Venda Direta;Anormal;104000
200;20;Residencial (Baixa Dens.);76;9591;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NridgHt;Normal;Normal;Casa Individual;Térrea;8;5;2004;2005;Quatro Águas;Asfalto;VinylSd;VinylSd;Tijolo;262;Boa;Média;Concreto;Excelente;Média;Média;Alto Acabamento;1088;Sem Acabamento;0;625;1713;Gás Forçado;Excelente;Sim;Disjuntor;1713;0;0;1713;1;0;2;0;3;1;Excelente;7;Típica;1;Boa;Anexada;2004;Acabado;3;856;Média;Média;Sim;0;26;0;0;170;0;;;;0;1;2009;Venda Direta;Normal;274900
201;20;Residencial (Média Dens.);80;8546;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;Edwards;Normal;Normal;Casa Individual;Térrea;4;5;2003;2004;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Média;Média;Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1121;1121;Gás Forçado;Excelente;Sim;Disjuntor;1121;0;0;1121;0;0;2;0;2;1;Média;5;Típica;0;;Anexada;2003;Rústico;2;440;Média;Média;Sim;132;64;0;0;0;0;;;;0;3;2010;Venda Direta;Normal;140000
202;20;Residencial (Baixa Dens.);75;10125;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;Mitchel;Normal;Normal;Casa Individual;Térrea;6;6;1977;1977;Duas Águas;Asfalto;Plywood;Plywood;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Bom Acabamento;641;Baixo Acabamento;279;276;1196;Gás Forçado;Média;Sim;Disjuntor;1279;0;0;1279;0;1;2;0;3;1;Média;6;Típica;2;Fraca;Separada;1980;Sem Acabamento;2;473;Média;Média;Sim;238;83;0;0;0;0;;Média Privativa;;0;2;2008;Venda Direta;Normal;171500
203;50;Residencial (Baixa Dens.);50;7000;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;OldTown;Arterial;Normal;Casa Individual;Mezanino Finalizado;6;6;1924;1950;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Boa;Tijolo;Fraca;Média;Nenhuma;Baixo Acabamento;617;Sem Acabamento;0;0;617;Gás Forçado;Boa;Sim;Disjuntor;865;445;0;1310;0;0;2;0;2;1;Média;6;Pequeno Ajuste;0;;Anexada;1924;Sem Acabamento;1;398;Média;Média;Sim;0;0;126;0;0;0;;;;0;5;2006;Venda Judicial;Normal;112000
204;120;Residencial (Média Dens.);;4438;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Geminada (Extremidade);Térrea;6;5;2004;2004;Duas Águas;Asfalto;VinylSd;VinylSd;Tijolo;205;Boa;Média;Concreto;Boa;Média;Média;Alto Acabamento;662;Sem Acabamento;0;186;848;Gás Forçado;Excelente;Sim;Disjuntor;848;0;0;848;1;0;1;0;1;1;Boa;3;Típica;1;Boa;Anexada;2004;Rústico;2;420;Média;Média;Sim;149;0;0;0;0;0;;;;0;1;2008;Venda Direta;Normal;149000
205;50;Residencial (Média Dens.);50;3500;Pavimentada;Cascalho;Regular;Plano;Todas Disponíveis;Interno;Suave;OldTown;Normal;Normal;Casa Individual;Mezanino Finalizado;5;7;1947;1950;Duas Águas;Asfalto;AsbShng;AsbShng;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Baixo Acabamento;312;Sem Acabamento;0;408;720;Gás Forçado;Média;Sim;Disjuntor;720;564;0;1284;0;0;1;1;2;1;Média;5;Típica;0;;Separada;1948;Sem Acabamento;1;240;Média;Média;Sim;0;35;0;0;0;0;;Média de Arame;;0;4;2009;Venda Direta;Normal;110000
206;20;Residencial (Baixa Dens.);99;11851;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;Gilbert;Normal;Normal;Casa Individual;Térrea;7;5;1990;1990;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Média;Média;Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1424;1424;Gás Forçado;Excelente;Sim;Disjuntor;1442;0;0;1442;0;0;2;0;3;1;Média;5;Típica;0;;Anexada;1990;Rústico;2;500;Média;Média;Sim;0;34;0;508;0;0;;;;0;5;2009;Venda Direta;Normal;180500
207;20;Residencial (Baixa Dens.);40;13673;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Cul-de-sac;Suave;Sawyer;Ferrovia (Afastado);Normal;Casa Individual;Térrea;5;5;1962;1962;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Média;Boa;Blocos de Concreto;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1140;1140;Gás Forçado;Média;Sim;Disjuntor;1696;0;0;1696;0;0;1;1;3;1;Média;8;Mínima Modificação;1;Média;Anexada;1962;Rústico;1;349;Média;Média;Sim;0;30;0;0;0;0;;;;0;3;2007;Venda Direta;Normal;143900
208;20;Residencial (Baixa Dens.);;12493;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;4;5;1960;1960;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Nenhum;0;Média;Média;Concreto;Média;Média;Nenhuma;Bom Acabamento;419;Sala de Recreação;306;375;1100;Gás Forçado;Média;Sim;Disjuntor;1100;0;0;1100;1;0;1;0;3;1;Média;6;Típica;1;Pobre;Anexada;1960;Rústico;1;312;Média;Média;Sim;355;0;0;0;0;0;;Madeira Boa;;0;4;2008;Venda Direta;Normal;141000
